Bus Stop,Ordinat_X,Ordinat_Y,Deskripsi (Nama Halte dan Alamat)
1,104.711404331302,-2.91935038924161,Stasiun LRT Asrama Haji A
2,104.712020112636,-2.91651417880875,Asrama Haji B
3,104.714536793033,-2.91075817833598,Kerajinan Karet B
4,104.725187690695,-2.90727174615211,PDK
5,104.727297415991,-2.90295760181717,Simpang Bandara A
6,104.726002273989,-2.89565880265001,Simpang Talang Jambe
7,104.722742598362,-2.89601508476471,YAPIS Hikmatul Furqon A
8,104.719088671088,-2.89573909935291,Perum Graha Utama Bandara
9,104.716342841057,-2.89623394890395,Simpang Karantina A
10,104.711404331302,-2.91935038924161,Stasiun LRT Asrama Haji A
11,104.712020112636,-2.91651417880875,Asrama Haji B
12,104.714536793033,-2.91075817833598,Kerajinan Karet B
13,104.725187690695,-2.90727174615211,PDK
14,104.727297415991,-2.90295760181717,Simpang Bandara A
15,104.726002273989,-2.89565880265001,Simpang Talang Jambe
16,104.722742598362,-2.89601508476471,YAPIS Hikmatul Furqon A
17,104.719088671088,-2.89573909935291,Perum Graha Utama Bandara
18,104.716342841057,-2.89623394890395,Simpang Karantina A
19,104.716343276861,-2.8961638131922,Simpang Karantina B
20,104.718959644092,-2.89567352168743,Perum Graha Utama Bandara B
21,104.724583911283,-2.89500452115879,YAPIS Hikmatul Furqon B
22,104.72572746987,-2.89663804481032,Lorong Bambu Kuning
23,104.724864621922,-2.90784879763623,PDK B
24,104.71835103394,-2.90966723705134,Palembang Asrama Haji
25,104.716134028208,-2.91031157017995,BCA
26,104.712210293682,-2.91704081891895,Asrama Haji A
27,104.711913739659,-2.91955842267099,LRT Asrama Haji
28,104.716343276861,-2.8961638131922,Simpang Karantina B
29,104.718959644092,-2.89567352168743,Perum Graha Utama Bandara B
30,104.724583911283,-2.89500452115879,YAPIS Hikmatul Furqon B
31,104.72572746987,-2.89663804481032,Lorong Bambu Kuning
32,104.724864621922,-2.90784879763623,PDK B
33,104.71835103394,-2.90966723705134,Palembang Asrama Haji
34,104.716134028208,-2.91031157017995,BCA
35,104.712210293682,-2.91704081891895,Asrama Haji A
36,104.711913739659,-2.91955842267099,LRT Asrama Haji
